,Strain,Contig,ARG,Per.ID,Length,MiMa,Gap,C.Start,C.End,A.Start,A.End,E.val,Bit.Score,Per.Pos
78,705963,NODE_10,BAC0752|copS|tr|Q7X4F9|Q7X4F9_XANEU,39.216,255,144,6,130737,131483,444,195,1.72E-46,174,60.78
38,705963,NODE_10,BAC0125|czcR|sp|Q44006|CZCR_RALME,56.221,217,94,1,132056,132703,217,1,4.63E-78,258,76.96
37,705963,NODE_10,BAC0457|zinT/yodA|sp|P76344|ZINT_ECOLI,98.039,204,4,0,135256,135867,1,204,2.55E-128,401,99.02
22,705963,NODE_10,BAC0432|ybtP|tr|Q9R7V3|Q9R7V3_YERPE,99.5,600,3,0,143747,145546,600,1,0,1117,99.67
31,705963,NODE_10,BAC0146|emmdR|tr|D5CJ69|D5CJ69_ENTCC,81.046,459,87,0,180264,181640,3,461,0,659,90.63
6789,705963,NODE_11,BAC0089|corR|tr|Q1D6V8|Q1D6V8_MYXXD,45,440,220,5,40051,41304,25,464,1.43E-109,358,62.27
6810,705963,NODE_11,BAC0579|arsB|sp|P74311|Y944_SYNY3,44.22,346,182,3,112005,113009,364,19,2.13E-65,227,65.32
6800,705963,NODE_11,BAC0595|arsH|tr|P74312|P74312_SYNY3,69.231,195,59,1,113650,114234,200,7,2.63E-85,277,79.49
6866,705963,NODE_11,BAC0583|arsC|sp|P52147|ARSC2_ECOLX,42.105,114,65,1,128893,129234,116,4,1.82E-22,95.1,64.04
6739,705963,NODE_11,BAC0008|acrD/yffA|sp|P24177|ACRD_ECOLI,99.904,1037,1,0,142317,145427,1037,1,0,2061,100
6779,705963,NODE_11,BAC0293|ruvB|tr|B5L348|B5L348_9PSED,59.635,384,153,2,154639,155790,4,385,4.04E-143,452,73.18
6831,705963,NODE_11,BAC0607|tupC|tr|Q93KD4|Q93KD4_EUBAC,34.842,221,134,4,183274,183933,1,212,4.93E-39,145,60.18
6765,705963,NODE_11,BAC0251|mntH/yfeP|sp|P0A769|MNTH_ECOLI,100,412,0,0,208929,210164,1,412,0,798,100
7017,705963,NODE_11,BAC0176|gadW/yhiW|sp|P63201|GADW_ECOLI,32.692,52,35,0,219651,219806,239,188,5.67E-05,47,63.46
6736,705963,NODE_11,BAC0155|evgS|sp|P58402|EVGS_ECO57,97.995,1197,24,0,233666,237256,1197,1,0,2236,98.66
6787,705963,NODE_11,BAC0154|evgA|sp|P0ACZ4|EVGA_ECOLI,100,204,0,0,237264,237875,204,1,4.83E-111,351,100
6768,705963,NODE_11,BAC0151|emrK|sp|P52599|EMRK_ECOLI,97.674,387,9,0,238291,239451,1,387,0,755,99.48
6761,705963,NODE_11,BAC0153|emrY|sp|P52600|EMRY_ECOLI,99.609,512,2,0,239454,240989,1,512,0,905,99.8
1998,705963,NODE_12,BAC0433|ybtQ|tr|Q9Z375|Q9Z375_YERPE,35.088,57,35,1,10668,10832,482,538,0.028,38.9,71.93
2076,705963,NODE_12,BAC0311|pgpA/ltpgpA|sp|P21441|MDR_LEITA,35.556,45,27,1,11157,11285,1286,1330,0.94,34.3,60
2103,705963,NODE_12,BAC0531|phoR|tr|C4X6T5|C4X6T5_KLEPN,42.373,59,32,1,58198,58374,471,415,0.000133,46.6,61.02
1802,705963,NODE_12,BAC0039|baeR|sp|P69228|BAER_ECOLI,37.447,235,137,3,59487,60185,238,12,1.49E-40,150,60
1745,705963,NODE_12,BAC0604|wtpC|sp|Q8U4K3|WTPC_PYRFU,40.07,287,161,4,124009,124869,277,2,4.68E-58,204,62.72
1619,705963,NODE_12,BAC0461|zntA/yhhO|sp|P37617|ATZN_ECOLI,98.759,725,9,0,142151,144325,1,725,0,1289,99.45
1629,705963,NODE_12,BAC0270|nikA|sp|P33590|NIKA_ECOLI,99.237,524,4,0,149534,151105,1,524,0,1076,99.43
1653,705963,NODE_12,BAC0271|nikB|sp|P33591|NIKB_ECOLI,99.682,314,1,0,151108,152049,1,314,0,626,100
1680,705963,NODE_12,BAC0272|nikC|sp|P0AFA9|NIKC_ECOLI,98.556,277,4,0,152049,152879,1,277,1.65E-151,470,100
1665,705963,NODE_12,BAC0273|nikD|sp|P33593|NIKD_ECOLI,99.213,254,2,0,152882,153643,1,254,1.04E-164,507,99.21
1654,705963,NODE_12,BAC0274|nikE|sp|P33594|NIKE_ECOLI,97.297,259,7,0,153643,154419,1,259,2.49E-166,512,99.23
1726,705963,NODE_12,BAC0275|nikR|sp|P0A6Z6|NIKR_ECOLI,100,133,0,0,154455,154853,1,133,9.38E-73,238,100
2080,705963,NODE_12,BAC0528|vexC|tr|Q9KR86|Q9KR86_VIBCH,44.186,43,23,1,159546,159671,103,61,0.026,38.9,72.09
1636,705963,NODE_12,BAC0312|pitA|sp|P0AFJ7|PITA_ECOLI,100,474,0,0,163161,164582,26,499,0,925,100
1711,705963,NODE_12,BAC0582|arsC|sp|P08692|ARSC1_ECOLX,93.617,141,9,0,173394,173816,1,141,1.58E-84,272,96.45
2068,705963,NODE_12,BAC0311|pgpA/ltpgpA|sp|P21441|MDR_LEITA,46.939,49,26,0,184515,184661,642,690,4.55E-05,48.5,61.22
1732,705963,NODE_12,BAC0186|hdeB/yhiC|sp|P0AET2|HDEB_ECOLI,100,108,0,0,186027,186350,108,1,8.38E-69,226,100
1781,705963,NODE_12,BAC0185|hdeA/yhiB|sp|P0AES9|HDEA_ECOLI,97.436,78,2,0,186469,186702,110,33,1.11E-44,157,100
1689,705963,NODE_12,BAC0175|gadE/yhiE|sp|P63204|GADE_ECOLI,100,175,0,0,188424,188948,1,175,1.33E-112,354,100
1643,705963,NODE_12,BAC0213|mdtE/yhiU|sp|P37636|MDTE_ECOLI,99.481,385,2,0,189290,190444,1,385,0,775,99.48
1615,705963,NODE_12,BAC0214|mdtF/yhiV|sp|P37637|MDTF_ECOLI,99.229,1037,8,0,190472,193582,1,1037,0,1944,99.61
1678,705963,NODE_12,BAC0176|gadW/yhiW|sp|P63201|GADW_ECOLI,94.628,242,13,0,193951,194676,242,1,5.37E-153,473,97.52
1676,705963,NODE_12,BAC0177|gadX|sp|P37639|GADX_ECOLI,93.066,274,19,0,195048,195869,274,1,3.15E-160,495,94.53
1986,705963,NODE_12,BAC0173|gadB|sp|P69910|DCEB_ECOLI,100,40,0,0,196240,196359,466,427,6.67E-17,85.9,100
945,705963,NODE_13,BAC0011|acrR/ybaH|sp|P0ACS9|ACRR_ECOLI,32.075,53,35,1,5139,5297,58,7,0.22,35,66.04
801,705963,NODE_13,BAC0536|oxyRkp|tr|C4WZN6|C4WZN6_KLEPN,96.066,305,12,0,9660,10574,305,1,0,601,97.7
803,705963,NODE_13,BAC0181|glpF|sp|P0AER0|GLPF_ECOLI,100,281,0,0,61055,61897,1,281,4.72E-170,523,100
802,705963,NODE_13,BAC0167|fieF/yiip|sp|P69380|FIEF_ECOLI,99.667,300,1,0,71819,72718,300,1,0,573,100
806,705963,NODE_13,BAC0533|cpxR|tr|C4WZK6|C4WZK6_KLEPN,95.259,232,11,0,106802,107497,1,232,8.38E-124,389,97.84
799,705963,NODE_13,BAC0532|cpxA|tr|C4WZK5|C4WZK5_KLEPN,94.748,457,24,0,107497,108867,1,457,0,809,98.03
808,705963,NODE_13,BAC0368|sodA|sp|P00448|SODM_ECOLI,98.058,206,4,0,111110,111727,206,1,3.63E-123,385,99.03
959,705963,NODE_13,BAC0622|copA|sp|O29777|COPA_ARCFU,40.909,44,25,1,152730,152858,611,654,2.2,32.7,61.36
805,705963,NODE_13,BAC0136|dsbA|sp|P0AEG4|DSBA_ECOLI,99.038,208,2,0,169063,169686,208,1,3.15E-137,426,99.52
1274,705963,NODE_14,BAC0290|opmD/nmpC|sp|P37592|OMPD_SALTY,61.202,366,123,6,63151,64203,362,1,2.33E-136,430,72.68
1296,705963,NODE_14,BAC0371|soxS|sp|P0A9E2|SOXS_ECOLI,45.283,106,58,0,97378,97695,106,1,8.03E-27,105,71.7
1316,705963,NODE_14,BAC0011|acrR/ybaH|sp|P0ACS9|ACRR_ECOLI,31.915,47,32,0,116396,116536,59,13,0.11,35.8,61.7
4684,705963,NODE_15,BAC0274|nikE|sp|P33594|NIKE_ECOLI,39.256,242,142,2,9750,10475,238,2,1.00E-46,168,60.74
4725,705963,NODE_15,BAC0154|evgA|sp|P0ACZ4|EVGA_ECOLI,28.302,53,38,0,24711,24869,84,32,0.018,37.7,62.26
4789,705963,NODE_15,BAC0710|arrB|AAQ01673|,37.5,48,27,2,32250,32393,46,2,0.005,40,62.5
4840,705963,NODE_15,BAC0708|chtS|ZP_06677962|sensor,33.333,42,27,1,39774,39896,231,272,0.49,33.9,64.29
4688,705963,NODE_15,BAC0434|ychH|sp|P0AB49|YCHH_ECOLI,100,92,0,0,55744,56019,92,1,5.85E-42,148,100
4726,705963,NODE_15,BAC0163|fecD|sp|P15029|FECD_ECOLI,45,120,64,2,67740,68096,190,308,1.26E-18,72.4,66.67
4675,705963,NODE_15,BAC0137|dsbB|sp|P0A6M2|DSBB_ECOLI,98.295,176,3,0,84344,84871,1,176,2.16E-81,264,98.86
4682,705963,NODE_15,BAC0450|ymgB/ariR|sp|P75993|ARIR_ECOLI,97.727,88,2,0,97067,97330,88,1,3.21E-50,171,100
4800,705963,NODE_15,BAC0682|merR1|sp|P22853|MERR_BACCE,30.137,73,51,0,99649,99867,3,75,5.48E-08,52.8,63.01
4655,705963,NODE_15,BAC0349|sitA|tr|Q9XCS2|Q9XCS2_SALTI,76.094,297,70,1,102359,103249,9,304,3.15E-156,484,88.22
4656,705963,NODE_15,BAC0350|sitB|tr|Q9XCS1|Q9XCS1_SALTM,76.981,265,61,0,103255,104049,1,265,1.44E-134,421,84.15
4660,705963,NODE_15,BAC0351|sitC|tr|Q9XCS0|Q9XCS0_SALTM,86.525,282,38,0,104076,104921,1,282,9.72E-133,416,92.55
4669,705963,NODE_15,BAC0352|sitD|tr|Q9XCR9|Q9XCR9_SALTM,69.288,267,82,0,104948,105748,8,274,2.27E-99,320,86.52
4654,705963,NODE_15,BAC0290|opmD/nmpC|sp|P37592|OMPD_SALTY,82.111,341,55,2,113046,114053,23,362,0,560,88.27
546,705963,NODE_16,BAC0529|kpnO|tr|C4XBC3|C4XBC3_KLEPN,68.783,378,104,6,26783,27913,1,365,3.80E-155,484,81.22
647,705963,NODE_16,BAC0352|sitD|tr|Q9XCR9|Q9XCR9_SALTM,67.347,49,16,0,28568,28714,11,59,4.26E-29,75.1,87.76
649,705963,NODE_16,BAC0352|sitD|tr|Q9XCR9|Q9XCR9_SALTM,54.167,48,20,1,28978,29115,204,251,6.49E-15,52.8,79.17
599,705963,NODE_16,BAC0604|wtpC|sp|Q8U4K3|WTPC_PYRFU,39.649,285,158,4,54584,55438,272,2,9.42E-60,209,62.46
784,705963,NODE_16,BAC0599|modB|tr|Q72FN2|Q72FN2_DESVH,40,40,24,0,62405,62524,149,110,0.64,33.1,60
590,705963,NODE_16,BAC0467|zraR/hydH|sp|P14375|ZRAR_ECOLI,43.125,320,158,5,68374,69318,141,441,3.09E-67,234,60.94
581,705963,NODE_16,BAC0360|smeF|tr|Q9F239|Q9F239_STEMA,39.863,439,255,4,76850,78151,456,22,4.05E-78,266,60.36
510,705963,NODE_16,BAC0013|adeE|tr|Q8GKU1|Q8GKU1_ACIG3,58.196,1031,421,6,78224,81301,1026,1,0,1082,75.46
544,705963,NODE_16,BAC0494|eefA|tr|A8CY69|A8CY69_KLEPN,78.836,378,73,3,81304,82428,374,1,0,582,88.36
545,705963,NODE_16,BAC0156|fabI|sp|P0AEK4|FABI_ECOLI,99.618,262,1,0,83621,84406,1,262,7.89E-175,536,99.62
757,705963,NODE_16,BAC0557|ycnK|sp|P94433|YCNK_BACSU,30.986,71,48,1,90319,90531,5,74,0.002,40.8,61.97
517,705963,NODE_16,BAC0003|acn|tr|O53166|O53166_MYCTU,55.426,940,355,9,96154,98805,941,10,0,1002,69.79
3710,705963,NODE_17,BAC0355|ruvB|sp|Q51426|RUVB_PSEAE,39.583,48,21,2,3276,3395,30,77,2.1,31.6,60.42
3571,705963,NODE_17,BAC0490|G2alt|tr|B0FSM1|B0FSM1_9BACI,56.621,219,91,2,84487,85143,215,1,2.05E-77,254,71.23
3565,705963,NODE_17,BAC0353|smdA|tr|A7VN01|A7VN01_SERMA,79.082,588,123,0,88461,90224,1,588,0,912,88.1
3568,705963,NODE_17,BAC0354|smdB|tr|A7VN02|A7VN02_SERMA,79.592,588,120,0,90226,91989,1,588,0,866,89.63
1321,705963,NODE_18,BAC0006|acrB|sp|P31224|ACRB_ECOLI,99.905,1049,1,0,5420,8566,1049,1,0,2008,100
1351,705963,NODE_18,BAC0005|acrA|sp|P0AE06|ACRA_ECOLI,99.496,397,2,0,8592,9782,397,1,0,715,99.75
1375,705963,NODE_18,BAC0011|acrR/ybaH|sp|P0ACS9|ACRR_ECOLI,100,215,0,0,9924,10568,1,215,2.07E-144,446,100
1323,705963,NODE_18,BAC0725|copA|sp|Q59385|COPA_ECOLI,98.921,834,9,0,32996,35497,834,1,0,1570,99.64
1410,705963,NODE_18,BAC0105|cueR/ybbI|sp|P0A9G4|CUER_ECOLI,99.259,135,1,0,38111,38515,1,135,7.34E-88,280,100
1371,705963,NODE_18,BAC0166|fetB/ybbM|sp|P77307|YBBM_ECOLI,100,259,0,0,43659,44435,1,259,4.43E-151,467,100
1428,705963,NODE_18,BAC0196|iclR|sp|P16528|ICLR_ECOLI,42.424,264,149,2,53042,53824,8,271,1.34E-61,211,65.91
4878,705963,NODE_19,BAC0252|mntP/yebN|sp|P76264|MNTP_ECOLI,100,188,0,0,29977,30540,1,188,1.03E-106,337,100
4874,705963,NODE_19,BAC0463|znuA/yebL|sp|P39172|ZNUA_ECOLI,98.71,310,4,0,65943,66872,310,1,3.13E-173,533,99.35
4875,705963,NODE_19,BAC0465|znuC/yebM|sp|P0A9X1|ZNUC_ECOLI,100,251,0,0,66951,67703,1,251,9.29E-164,503,100
4877,705963,NODE_19,BAC0464|znuB/yebI|sp|P39832|ZNUB_ECOLI,99.617,261,1,0,67703,68485,1,261,1.16E-125,394,99.62
4876,705963,NODE_19,BAC0355|ruvB|sp|Q51426|RUVB_PSEAE,72.239,335,92,1,68642,69643,335,1,7.49E-155,482,84.48
2961,705963,NODE_2,BAC0010|acrF/envD|sp|P24181|ACRF_ECOLI,99.42,1034,6,0,5524,8625,1034,1,0,1980,99.81
2986,705963,NODE_2,BAC0009|acrE/envC|sp|P24180|ACRE_ECOLI,99.221,385,3,0,8640,9794,385,1,0,721,99.74
3328,705963,NODE_2,BAC0416|ttgW|sp|Q93PU7|TTGW_PSEPT,49.153,59,30,0,10193,10369,1,59,1.20E-11,64.7,66.1
3364,705963,NODE_2,BAC0467|zraR/hydH|sp|P14375|ZRAR_ECOLI,42.5,40,23,0,12106,12225,441,402,2.5,33.5,62.5
3105,705963,NODE_2,BAC0446|yhcN|sp|P64614|YHCN_ECOLI,100,87,0,0,46153,46413,87,1,1.05E-38,140,100
2998,705963,NODE_2,BAC0452|yqjH|sp|Q46871|YQJH_ECOLI,98.425,254,4,0,204311,205072,1,254,3.31E-168,518,98.82
3052,705963,NODE_2,BAC0335|rpoS|sp|P35540|RPOS_SHIFL,42.105,247,140,1,205958,206698,314,71,2.05E-59,209,66.8
3001,705963,NODE_2,BAC0469|zupT/ygiE|sp|P0A8H3|ZUPT_ECOLI,99.611,257,1,0,230548,231318,257,1,4.21E-139,434,99.61
2981,705963,NODE_2,BAC0393|tolC|sp|P02930|TOLC_ECOLI,99.786,468,1,0,237951,239354,488,21,0,906,99.79
3045,705963,NODE_2,BAC0164|fecE|sp|P15031|FECE_ECOLI,43.775,249,139,1,254971,255717,6,253,7.11E-61,210,62.65
3234,705963,NODE_2,BAC0163|fecD|sp|P15029|FECD_ECOLI,42.077,183,106,0,256167,256715,135,317,1.76E-19,92.4,60.11
3057,705963,NODE_2,BAC0487|pmrA|sp|Q70FH0|PMRA_PECSS,43.981,216,121,0,263769,264416,216,1,4.73E-53,186,66.67
3041,705963,NODE_2,BAC0445|ygiW|sp|P0ADU5|YGIW_ECOLI,100,129,0,0,264568,264954,1,129,5.44E-81,262,100
2990,705963,NODE_2,BAC0312|pitA|sp|P0AFJ7|PITA_ECOLI,80.561,499,97,0,304353,305849,1,499,0,708,89.78
3147,705963,NODE_2,BAC0604|wtpC|sp|Q8U4K3|WTPC_PYRFU,29.231,65,41,1,347098,347292,1,60,0.007,41.6,60
7098,705963,NODE_20,BAC0086|corA|sp|P0ABI4|CORA_ECOLI,100,316,0,0,833,1780,1,316,0,624,100
5641,705963,NODE_21,BAC0090|corR/coaR|tr|H0P0Y2|H0P0Y2_9SYNC,34.694,49,31,1,2896,3039,223,175,4.5,30,65.31
2231,705963,NODE_23,BAC0643|corB|tr|Q9X621|Q9X621_SALTM,94.714,227,12,0,18146,18826,1,227,4.54E-143,442,97.8
2273,705963,NODE_23,BAC0685|merR|tr|H6WCN2|H6WCN2_9FLAO,40.678,59,35,0,33706,33882,45,103,4.42E-06,45.8,61.02
2238,705963,NODE_23,BAC0604|wtpC|sp|Q8U4K3|WTPC_PYRFU,35.983,239,141,2,42597,43313,5,231,4.58E-44,162,61.09
2232,705963,NODE_23,BAC0559|emrR|sp|P0ACR9|MPRA_ECOLI,99.432,176,1,0,48480,49007,1,176,1.50E-114,358,99.43
2227,705963,NODE_23,BAC0147|emrA|sp|P27303|EMRA_ECOLI,99.744,390,1,0,49137,50306,1,390,0,773,100
2226,705963,NODE_23,BAC0148|emrB|sp|P0AEJ0|EMRB_ECOLI,99.801,502,1,0,50326,51831,1,502,0,945,100
323,705963,NODE_24,BAC0141|emeA|tr|Q8GR72|Q8GR72_ENTFL,35.593,59,37,1,23315,23491,72,15,0.002,40.4,62.71
6575,705963,NODE_25,BAC0462|zntR/yhdM|sp|P0ACS5|ZNTR_ECOLI,99.291,141,1,0,9994,10416,141,1,4.52E-90,286,99.29
6576,705963,NODE_25,BAC0048|bfrA|sp|P63697|BFR_MYCTU,44.966,149,82,0,37565,38011,149,1,6.26E-35,129,62.42
6691,705963,NODE_26,BAC0384|tehA|sp|P25396|TEHA_ECOLI,99.091,330,3,0,13669,14658,1,330,0,612,99.09
6692,705963,NODE_26,BAC0385|tehB|sp|P25397|TEHB_ECOLI,98.985,197,2,0,14658,15248,1,197,4.86E-131,405,98.98
6693,705963,NODE_26,BAC0604|wtpC|sp|Q8U4K3|WTPC_PYRFU,41.667,240,139,1,23734,24453,2,240,5.57E-44,161,64.17
6718,705963,NODE_26,BAC0610|modB|sp|P0AF01|MODB_ECOLI,38.333,60,37,0,25324,25503,105,164,1.72E-05,45.8,60
3739,705963,NODE_27,BAC0030|arsA|sp|P52145|ARSA2_ECOLX,46.341,41,20,1,16246,16368,364,326,0.069,35,68.29
2202,705963,NODE_28,BAC0173|gadB|sp|P69910|DCEB_ECOLI,100,40,0,0,1,120,427,466,1.08E-17,85.9,100
2200,705963,NODE_28,BAC0174|gadC/xasA|sp|P63235|GADC_ECOLI,99.609,511,2,0,279,1811,1,511,0,877,99.8
2201,705963,NODE_28,BAC0435|yddg/emrE|sp|D0ZXP9|YDDG_SALT1,85.616,292,42,0,16447,17322,1,292,3.92E-148,459,92.81
2209,705963,NODE_28,BAC0710|arrB|AAQ01673|,36.364,44,26,1,22836,22967,2,43,0.011,37,61.36
1134,705963,NODE_3,BAC0465|znuC/yebM|sp|P0A9X1|ZNUC_ECOLI,40.625,64,38,0,113678,113869,79,16,2.82E-07,54.3,65.62
970,705963,NODE_3,BAC0334|robA|sp|P0ACI0|ROB_ECOLI,99.308,289,2,0,117779,118645,289,1,0,599,99.65
984,705963,NODE_3,BAC0596|baeR|tr|D0ZNE3|D0ZNE3_SALT1,41.778,225,118,3,119357,120013,13,230,2.52E-46,167,61.33
986,705963,NODE_3,BAC0039|baeR|sp|P69228|BAER_ECOLI,42.222,225,117,3,119357,120013,13,230,2.75E-46,167,61.33
973,705963,NODE_3,BAC0644|corD|sp|Q56017|APAG_SALTY,93.6,125,8,0,178426,178800,125,1,8.07E-65,216,96.8
967,705963,NODE_3,BAC0296|ostA/lptD|sp|P31554|LPTD_ECOLI,98.98,784,8,0,181952,184303,784,1,0,1615,99.49
1236,705963,NODE_3,BAC0714|arsT|tr|B7FB00|B7FB00_9MICO,35.714,42,27,0,258130,258255,5,46,1.3,34.3,61.9
968,705963,NODE_3,BAC0103|cueO|sp|P36649|CUEO_ECOLI,98.643,516,7,0,267361,268908,1,516,0,953,99.03
974,705963,NODE_3,BAC0164|fecE|sp|P15031|FECE_ECOLI,42.52,254,145,1,299859,300620,2,254,2.61E-60,208,61.02
972,705963,NODE_3,BAC0116|cutF/nlpE|sp|P40710|NLPE_ECOLI,98.298,235,4,0,344896,345600,1,235,1.23E-155,481,98.72
6686,705963,NODE_30,BAC0395|trgB|tr|O07841|O07841_RHOSH,43.902,41,22,1,19473,19595,248,287,0.89,31.2,60.98
6647,705963,NODE_30,BAC0466|zraP|sp|Q9L9I0|ZRAP_SALTY,63.415,123,41,2,23428,23784,123,1,2.50E-38,138,82.11
6644,705963,NODE_30,BAC0468|zraS/hydG|sp|P14377|ZRAS_ECOLI,84.946,465,63,2,24022,25395,1,465,0,672,89.68
6643,705963,NODE_30,BAC0467|zraR/hydH|sp|P14375|ZRAR_ECOLI,98.639,441,6,0,25395,26717,1,441,0,838,99.09
7132,705963,NODE_31,BAC0604|wtpC|sp|Q8U4K3|WTPC_PYRFU,38.246,285,165,3,1763,2617,274,1,1.36E-54,192,63.51
7130,705963,NODE_31,BAC0531|phoR|tr|C4X6T5|C4X6T5_KLEPN,81.893,486,86,2,16607,18058,486,1,0,766,91.56
7131,705963,NODE_31,BAC0530|phoB|tr|C4X6T6|C4X6T6_KLEPN,92.377,223,17,0,18061,18729,237,15,9.13E-130,404,96.86
3531,705963,NODE_32,BAC0164|fecE|sp|P15031|FECE_ECOLI,100,255,0,0,6321,7085,255,1,5.50E-161,494,100
3532,705963,NODE_32,BAC0163|fecD|sp|P15029|FECD_ECOLI,99.686,318,1,0,7089,8042,318,1,4.32E-147,457,99.69
4639,705963,NODE_39,BAC0475|dmeR|tr|Q1MJL3|Q1MJL3_RHIL3,38.462,91,55,1,8424,8696,90,1,1.79E-15,69.3,65.93
504,705963,NODE_4,BAC0493|kmrA|tr|C4X8X9|C4X8X9_KLEPN,44,50,26,1,32553,32702,109,62,7.8,31.6,60
404,705963,NODE_4,BAC0465|znuC/yebM|sp|P0A9X1|ZNUC_ECOLI,44.262,61,32,1,49009,49191,61,3,1.11E-07,55.5,65.57
339,705963,NODE_4,BAC0138|dsbC|sp|P0AEG6|DSBC_ECOLI,99.153,236,2,0,81251,81958,1,236,2.64E-157,485,99.58
342,705963,NODE_4,BAC0467|zraR/hydH|sp|P14375|ZRAR_ECOLI,42.587,317,164,5,114921,115865,141,441,4.77E-67,234,62.15
498,705963,NODE_4,BAC0367|smvA/emrB|sp|D0ZXQ3|SMVA_SALT1,46.667,45,24,0,126356,126490,62,106,2.4,33.5,60
474,705963,NODE_4,BAC0141|emeA|tr|Q8GR72|Q8GR72_ENTFL,40,45,27,0,253433,253567,80,36,0.045,38.9,66.67
338,705963,NODE_4,BAC0335|rpoS|sp|P35540|RPOS_SHIFL,99.697,330,1,0,277303,278292,1,330,0,657,100
412,705963,NODE_4,BAC0557|ycnK|sp|P94433|YCNK_BACSU,36.066,61,39,0,285667,285849,1,61,1.22E-06,51.2,65.57
340,705963,NODE_4,BAC0467|zraR/hydH|sp|P14375|ZRAR_ECOLI,47.249,309,158,3,290978,291901,441,137,1.15E-78,268,66.67
341,705963,NODE_4,BAC0467|zraR/hydH|sp|P14375|ZRAR_ECOLI,54.583,240,109,0,316929,317648,132,371,3.44E-73,252,71.67
5616,705963,NODE_5,BAC0706|bcrC|tr|I6ZWM1|I6ZWM1_LISMN,30,50,34,1,38684,38830,101,52,2.6,31.2,60
5093,705963,NODE_5,BAC0486|pmrG|sp|Q8ZNF4|AIS_SALTY,66.834,199,65,1,45941,46534,1,199,1.04E-83,273,78.39
